============================================================
           BRUTE-FORCE NEAR-DUPLICATE DETECTION            
============================================================

=== Parameters ===
Shingle size (k): 4
Similarity threshold: 0.7
Total comparisons: 999900
Execution time: 124.520 seconds

=== Detection Results ===
Query Document           Matched Corpus           Similarity
IELTS_004_VAR_061        IELTS_004                0.9372
IELTS_004_VAR_062        IELTS_004                0.9196
IELTS_004_VAR_063        IELTS_004                0.9420
IELTS_004_VAR_064        IELTS_004                0.9412
IELTS_004_VAR_065        IELTS_004                0.9495
IELTS_004_VAR_066        IELTS_004                0.9420
IELTS_004_VAR_067        IELTS_004                0.9487
IELTS_004_VAR_068        IELTS_004                0.9404
IELTS_004_VAR_069        IELTS_004                0.9085
IELTS_004_VAR_070        IELTS_004                0.9379
IELTS_004_VAR_071        IELTS_004                0.8886
IELTS_004_VAR_072        IELTS_004                0.8893
IELTS_004_VAR_073        IELTS_004                0.9046
IELTS_004_VAR_074        IELTS_004                0.8923
IELTS_004_VAR_075        IELTS_004                0.8920
IELTS_004_VAR_076        IELTS_004                0.9106
IELTS_004_VAR_077        IELTS_004                0.8997
IELTS_004_VAR_078        IELTS_004                0.9023
IELTS_004_VAR_079        IELTS_004                0.8965
IELTS_004_VAR_080        IELTS_004                0.9008
IELTS_004_VAR_081        IELTS_004                0.9199
IELTS_004_VAR_082        IELTS_004                0.8894
IELTS_004_VAR_083        IELTS_004                0.9103
IELTS_004_VAR_084        IELTS_004                0.8970
IELTS_004_VAR_085        IELTS_004                0.8986
IELTS_004_VAR_086        IELTS_004                0.8960
IELTS_004_VAR_087        IELTS_004                0.9044
IELTS_004_VAR_088        IELTS_004                0.9265
IELTS_004_VAR_089        IELTS_004                0.9160
IELTS_004_VAR_090        IELTS_004                0.9192
IELTS_004_VAR_091        IELTS_004                0.9012
IELTS_004_VAR_092        IELTS_004                0.9075
IELTS_004_VAR_093        IELTS_004                0.8823
IELTS_004_VAR_094        IELTS_004                0.9105
IELTS_004_VAR_095        IELTS_004                0.9188
IELTS_004_VAR_096        IELTS_004                0.9120
IELTS_004_VAR_097        IELTS_004                0.8878
IELTS_004_VAR_098        IELTS_004                0.8829
IELTS_004_VAR_099        IELTS_004                0.8957
IELTS_004_VAR_100        IELTS_004                0.9003
IELTS_005_VAR_001        IELTS_005                0.9831
IELTS_005_VAR_002        IELTS_005                0.9593
IELTS_005_VAR_003        IELTS_005                0.9785
IELTS_005_VAR_004        IELTS_005                0.9756
IELTS_005_VAR_005        IELTS_005                0.9756
IELTS_005_VAR_006        IELTS_005                0.9608
IELTS_005_VAR_007        IELTS_005                0.9770
IELTS_005_VAR_008        IELTS_005                0.9522
IELTS_005_VAR_009        IELTS_005                0.9756
IELTS_005_VAR_010        IELTS_005                0.9593
IELTS_005_VAR_011        IELTS_005                0.9755
IELTS_005_VAR_012        IELTS_005                0.9579
IELTS_005_VAR_013        IELTS_005                0.9579
IELTS_005_VAR_014        IELTS_005                0.9493
IELTS_005_VAR_015        IELTS_005                0.9493
IELTS_005_VAR_016        IELTS_005                0.9785
IELTS_005_VAR_017        IELTS_005                0.9681
IELTS_005_VAR_018        IELTS_005                0.9755
IELTS_005_VAR_019        IELTS_005                0.9465
IELTS_005_VAR_020        IELTS_005                0.9608
IELTS_005_VAR_021        IELTS_005                0.9770
IELTS_005_VAR_022        IELTS_005                0.9697
IELTS_005_VAR_023        IELTS_005                0.9785
IELTS_005_VAR_024        IELTS_005                0.9608
IELTS_005_VAR_025        IELTS_005                0.9831
IELTS_005_VAR_026        IELTS_005                0.9579
IELTS_005_VAR_027        IELTS_005                0.9756
IELTS_005_VAR_028        IELTS_005                0.9756
